Principal: 15000
Annual Interest Rate: 0.001%
Period: 2 years
Compound Frequency: 12
Payment Period: monthly
Payment amount for each monthly: 625.01
---------------------------------------------
Period	Interest	Principal Remaining
1		0.01		14375.01
2		0.01		13750.01
3		0.01		13125.02
4		0.01		12500.02
5		0.01		11875.02
6		0.01		11250.03
7		0.01		10625.03
8		0.01		10000.03
9		0.01		9375.04
10		0.01		8750.04
11		0.01		8125.04
12		0.01		7500.04
13		0.01		6875.04
14		0.01		6250.04
15		0.01		5625.04
16		0.00		5000.03
17		0.00		4375.03
18		0.00		3750.03
19		0.00		3125.02
20		0.00		2500.02
21		0.00		1875.02
22		0.00		1250.01
23		0.00		625.01
24		0.00		-0.00
